id,name,code,active,type,default_account_id/id,suspense_account_id/id,restrict_mode_hash_table,sequence,invoice_reference_type,invoice_reference_model,company_id/id,refund_sequence,payment_sequence,profit_account_id/id,loss_account_id/id,bank_account_id/id,bank_statements_source,secure_sequence_id/id,show_on_dashboard,color,check_manual_sequencing,check_sequence_id/id,renewal_contact_email
account_journal_customer_receipts_cheque,Customer Receipts - Cheque,CRCHQ,1,cash,Jinasena_MasterData_Accounting.account_account_cheques_in_hand,Jinasena_MasterData_Accounting.account_account_bank_suspense,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,1,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_customer_receipts_cheque_check_number_se,milinda.bakmiwewa@jinasena.com.lk
account_journal_customer_receipts_cash,Customer Receipts - Cash,CRCSH,1,cash,Jinasena_MasterData_Accounting.account_account_cash_in_hand,Jinasena_MasterData_Accounting.account_account_bank_suspense,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,1,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_customer_receipts_cash_check_number_sequ,milinda.bakmiwewa@jinasena.com.lk
account_journal_project_expense,Project Expense,PJE,1,cash,,Jinasena_MasterData_Accounting.account_account_general_cost,,10,invoice,odoo,,,1,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_project_expense_check_number_sequence,rohana.b@jinasena.com.lk
account_journal_advance_payment,Advance Payment,ADVN,1,general,,,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_advance_payment_check_number_sequence,
account_journal_advance_payment_repairs,Advance Payment - Repairs,ADVP2,1,general,,,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,,Jinasena_MasterData_Accounting.account_account_undistributed_profits_losses_3130,Jinasena_MasterData_Accounting.account_account_undistributed_profits_losses_3130,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_advance_payment_repairs_check_number_seq,
account_journal_advance_receipt,Advance Receipt,ADVR,1,general,Jinasena_MasterData_Accounting.account_account_sales_advances,,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_advance_receipt_check_number_sequence,milinda.bakmiwewa@jinasena.com.lk
account_journal_advance_receipt_repairs,Advance Receipt - Repairs,ADVRR,1,general,Jinasena_MasterData_Accounting.account_account_cash_in_hand,Jinasena_MasterData_Accounting.account_account_undistributed_profits_losses_3130,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_advance_receipt_repairs_check_number_seq,milinda.bakmiwewa@jinasena.com.lk
account_journal_cash_issued,Cash Issued,CAIS,1,general,,,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_cash_issued_check_number_sequence,
account_journal_cash_settled,Cash Settled,CAST,1,general,,,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_cash_settled_check_number_sequence,
account_journal_cp,CP,CP,1,general,Jinasena_MasterData_Accounting.account_account_creditors_control_trade,,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_cp_check_number_sequence,milinda.bakmiwewa@jinasena.com.lk
account_journal_vendor_despatch,Vendor Despatch,DESP,1,general,,,1,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,,,,,undefined,Jinasena_MasterData_Common.ir_sequence_securisation_of_secure_sequence_id_vendo,1,0,,Jinasena_MasterData_Common.ir_sequence_vendor_despatch_check_number_sequence,
account_journal_deposit_boc,Deposit BOC,DPBOC,1,general,Jinasena_MasterData_Accounting.account_account_bank_of_ceylon_corporate_branch_receipt,Jinasena_MasterData_Accounting.account_account_bank_suspense,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_deposit_boc_check_number_sequence,milinda.bakmiwewa@jinasena.com.lk
account_journal_deposit_commerical,Deposit Commerical ,DPCOM,1,general,Jinasena_MasterData_Accounting.account_account_commercial_bank_of_ceylon_plc_colombo_7__4358,Jinasena_MasterData_Accounting.account_account_bank_suspense,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_deposit_commerical_check_number_sequence,milinda.bakmiwewa@jinasena.com.lk
account_journal_exchange_difference,Exchange Difference,EXCH,1,general,,,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_exchange_difference_check_number_sequenc,
account_journal_fixed_asset_journal,Fixed Asset Journal,FXAJR,1,general,,,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_fixed_asset_journal_check_number_sequenc,
account_journal_payment_for_import_purchases_boc,Payment for Import Purchases - BOC,IMPYB,1,general,,,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_payment_for_import_purchases_boc_check_n,milinda.bakmiwewa@jinasena.com.lk
account_journal_payment_for_import_purchases_commercial,Payment for Import Purchases - Commercial,IMPYC,1,general,Jinasena_MasterData_Accounting.account_account_commercial_bank_of_ceylon_plc_colombo_7__4359,,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_payment_for_import_purchases_commercial_,milinda.bakmiwewa@jinasena.com.lk
account_journal_stock_journal,Stock Journal,INV,1,general,,,,10,invoice,odoo,,,,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_stock_journal_check_number_sequence,kapila.h@jinasena.com.lk
account_journal_inventory_valuation,Inventory Valuation,INVAL,1,general,,,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_inventory_valuation_check_number_sequenc_1274,milinda.bakmiwewa@jinasena.com.lk
account_journal_miscellanious_journal,Miscellanious Journal,MISC,1,general,,,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_miscellanious_journal_check_number_seque,
account_journal_o_b,O/B,OBAL,1,general,,,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_o_b_check_number_sequence,
account_journal_petty_cash_ekala_sales_centre,Petty Cash - Ekala Sales Centre,PCEK,1,general,,,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_petty_cash_ekala_sales_centre_check_numb,
account_journal_post_dated_cheque,Post Dated Cheque,PDC,1,general,,,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_post_dated_cheque_check_number_sequence_1326,milinda.bakmiwewa@jinasena.com.lk
account_journal_project_advances,Project Advances,PRJAD,1,general,,,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_project_advances_check_number_sequence_1327,milinda.bakmiwewa@jinasena.com.lk
account_journal_purchase,Purchase,PURCH,1,general,,,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_purchase_check_number_sequence,
account_journal_sales_commission_for_staff,Sales Commission for staff,SACOM,1,general,,,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_sales_commission_for_staff_check_number_,milinda.bakmiwewa@jinasena.com.lk
account_journal_salary_payment,Salary Payment,SALPY,1,general,,,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_salary_payment_check_number_sequence,
account_journal_slt_payments,SLT Payments,SLTP,1,general,,,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_slt_payments_check_number_sequence,
account_journal_tax_journal,TAX JOURNAL,TAXJ,1,general,,,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_tax_journal_check_number_sequence,
account_journal_advanced_cash_purchase,Advanced Cash Purchase,ADVP,1,purchase,Jinasena_MasterData_Accounting.account_account_expenses_general,,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_advanced_cash_purchase_check_number_sequ,
account_journal_asset_depreciation,Asset Depreciation,ASDEP,1,purchase,,,,10,invoice,odoo,,1,,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_asset_depreciation_check_number_sequence,milinda.bakmiwewa@jinasena.com.lk
account_journal_tp_vendor_bills,TP Vendor Bills,TPBIL,1,purchase,Jinasena_MasterData_Accounting.account_account_expenses_general,,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_tp_vendor_bills_check_number_sequence,
account_journal_vendor_bills_proj_advance,Vendor Bills (Proj-Advance),VBPJA,1,purchase,Jinasena_MasterData_Accounting.account_account_expenses_general,,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_vendor_bills_proj_advance_check_number_s,milinda.bakmiwewa@jinasena.com.lk
account_journal_vendor_bills_proj_subcontracts,Vendor Bills (Proj-Subcontracts),VBPJS,1,purchase,Jinasena_MasterData_Accounting.account_account_expenses_general,,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_vendor_bills_proj_subcontracts_check_num,milinda.bakmiwewa@jinasena.com.lk
account_journal_vendor_bills,Vendor Bills,VNBIL,1,purchase,Jinasena_MasterData_Accounting.account_account_expenses_general,,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,,,,,undefined,,1,0,1,Jinasena_MasterData_Common.ir_sequence_vendor_bills_check_number_sequence,
account_journal_customer_invoices_free_text,Customer Invoices - Free Text,FTI,1,sale,Jinasena_MasterData_Accounting.account_account_sales,,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_customer_invoices_free_text_check_number,milinda.bakmiwewa@jinasena.com.lk
account_journal_customer_invoices,Customer Invoices,INV,1,sale,Jinasena_MasterData_Accounting.account_account_sales,,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_customer_invoices_check_number_sequence,
account_journal_customer_invoices_sp_project,Customer Invoices - SP Project,INVPJ,1,sale,Jinasena_MasterData_Accounting.account_account_sales_special_projects,,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_customer_invoices_sp_project_check_numbe,milinda.bakmiwewa@jinasena.com.lk
account_journal_customer_invoices_repairs,Customer Invoices - Repairs,INVRE,1,sale,Jinasena_MasterData_Accounting.account_account_sales,,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_customer_invoices_repairs_check_number_s,milinda.bakmiwewa@jinasena.com.lk
account_journal_sales_journals,Sales Journals,Sales,1,sale,,,,10,invoice,odoo,,1,,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_sales_journals_check_number_sequence,rohana.b@jinasena.com.lk
